Attribute,Type,Unit,Default,Description,Status
name,string,n/a,n/a,Unique name,Input (required)
v_nom,float,kV,1.,Nominal voltage,Input (optional)
x,float,n/a,0.,Position (e.g. longitude),Input (optional)
y,float,n/a,0.,Position (e.g. latitude),Input (optional)
current_type,string,n/a,"""AC""","Type of current (must be either ""AC"" or ""DC"").",Input (optional)
v_mag_pu_set,series of floats,per unit,1.,"Voltage magnitude set point, per unit of v_nom.",Input (optional)
v_mag_pu_min,float,per unit,0.,"Minimum desired voltage, per unit of v_nom",Input (optional)
v_mag_pu_max,float,per unit,NaN,"Maximum desired voltage, per unit of v_nom",Input (optional)
p,series of floats,MW,0.,active power at bus (positive if net generation at bus),Output
q,series of floats,MVar,0.,reactive power (positive if net generation at bus),Output
v_mag_pu,series of floats,per unit,1.,"Voltage magnitude, per unit of v_nom",Output
v_ang,series of floats,radians,0.,Voltage angle,Output
marginal_price,series of floats,currency,0.,Locational marginal price from LOPF,Output
components(),pandas.DataFrame,n/a,n/a,"For each component type (buses, lines, etc.): a dynamically-generated DataFrame of those components attached to the bus. Note that this is a copy, so changing its elements will NOT update the original network.components.",Output
