Name,Converter station 1,Converter station 2,Total Length (Cable/Pole) (km),Volt (kV),Power (MW),Year,Type,Remarks,Ref,x1,y1,x2,y2
Elbe-Project,"Germany, Vockerode 51°50′40″N 12°21′50″E﻿ / ﻿51.84444°N 12.36389°E﻿ / 51.84444; 12.36389﻿ (Elbe-Project - Vockerode Static Inverter Plant (today workshop))","Germany - Berlin, Marienfelde 52°25′49″N 13°22′42″E﻿ / ﻿52.43028°N 13.37833°E﻿ / 52.43028; 13.37833﻿ (Elbe-Project - Marienfelde Static Inverter Plant (demolished, today hardware store)",115 (115/0),200,60.0,1945,Merc,Never placed in service Dismantled,,12.363888888888889,51.84444444444444,13.378333333333334,52.430277777777775
Gotland 1,Sweden - Västervik 57°43′41″N 16°38′51″E﻿ / ﻿57.72806°N 16.64750°E﻿ / 57.72806; 16.64750﻿ (Gotland Transmission - Västervik Static Inverter Plant),Sweden - Yigne 57°35′13″N 18°11′44″E﻿ / ﻿57.58694°N 18.19556°E﻿ / 57.58694; 18.19556﻿ (Gotland Transmission - Yigne Static Inverter Plant),98 (98/0),200,20.0,1954,Merc,"World's first commercial HVDC link. Expanded by ABB in 1970, decommissioned in 1986",[1][31],16.6475,57.72805555555556,18.195555555555554,57.58694444444444
Cross-Channel,France - Echingen 50°41′48″N 1°38′21″E﻿ / ﻿50.69667°N 1.63917°E﻿ / 50.69667; 1.63917﻿ (Cross-Channel ( old) - Echingen Static Inverter Plant),UK - Lydd 50°54′54″N 0°56′50″E﻿ / ﻿50.91500°N 0.94722°E﻿ / 50.91500; 0.94722﻿ (Cross-Channel ( old) - Lydd Static Inverter Plant),64 (64/0),100,160.0,1961,Merc,Shut down in 1984,[1],1.6391666666666667,50.696666666666665,0.9472222222222223,50.915
Volgograd-Donbass,Russia - Volzhskaya 48°49′34″N 44°40′20″E﻿ / ﻿48.82611°N 44.67222°E﻿ / 48.82611; 44.67222﻿ (Volgograd-Donnbass - Volzhskaya Static Inverter Plant),Ukraine - Mikhailovskaya 48°39′13″N 38°33′56″E﻿ / ﻿48.65361°N 38.56556°E﻿ / 48.65361; 38.56556﻿ (Volgograd-Donnbass - Mikhailovskaya Static Inverter Plant),475 (0/475),400,750.0,1965,Merc/Thyr,Shut down in 2014,[1],44.672222222222224,48.82611111111111,38.565555555555555,48.65361111111111
Konti-Skan 1,Denmark - Vester Hassing 57°3′46″N 10°5′24″E﻿ / ﻿57.06278°N 10.09000°E﻿ / 57.06278; 10.09000﻿ (Konti-Skan - Vester Hassing Static Inverter Plant),Sweden - Stenkullen 57°48′15″N 12°19′13″E﻿ / ﻿57.80417°N 12.32028°E﻿ / 57.80417; 12.32028﻿ (Konti-Skan 1 - Stenkullen Static Inverter Plant (dismantled)),176 (87/89),250,250.0,1965,Merc,Replaced in August 2006 by modern converters using thyristors,[1],10.09,57.062777777777775,12.320277777777777,57.80416666666667
SACOI 1,Italy - Suvereto 43°3′10″N 10°41′42″E﻿ / ﻿43.05278°N 10.69500°E﻿ / 43.05278; 10.69500﻿ (SACOI - Suvereto Static Inverter Plant) ( before 1992: Italy - San Dalmazio 43°15′43″N 10°55′05″E﻿ / ﻿43.26194°N 10.91806°E﻿ / 43.26194; 10.91806﻿ (SACOI - San Dalmazio Static Inverter Plant ( abandoned))),"France- Lucciana 42°31′40″N 9°26′59″E﻿ / ﻿42.52778°N 9.44972°E﻿ / 42.52778; 9.44972﻿ (SACOI - Lucciana Static Inverter Plant) ; Codrongianos, Italy 40°39′7″N 8°42′48″E﻿ / ﻿40.65194°N 8.71333°E﻿ / 40.65194; 8.71333﻿ (SACOI - Codrogianos Static Inverter Plant)",483 (365/118),200,200.0,1965,Merc,"Replaced in 1986 by Thyr, multiterminal scheme",[1],10.695,43.05277777777778,9.449722222222222,42.52777777777778
Kingsnorth,UK - Kingsnorth 51°25′11″N 0°35′46″E﻿ / ﻿51.41972°N 0.59611°E﻿ / 51.41972; 0.59611﻿ (Kingsnorth Transmission - Kingsnorth Static Inverter Plant),UK - London-Beddington 51°22′23″N 0°7′38″W﻿ / ﻿51.37306°N 0.12722°W﻿ / 51.37306; -0.12722﻿ (Kingsnorth Transmission - Beddington Static Inverter Plant),85 (85/0),266,320.0,1975,Merc,Bipolar scheme Supplier: English Electric Shut down in 1987,[32],0.5961111111111111,51.41972222222222,-0.1272222222222222,51.37305555555555
Skagerrak 1 + 2,Denmark - Tjele 56°28′44″N 9°34′1″E﻿ / ﻿56.47889°N 9.56694°E﻿ / 56.47889; 9.56694﻿ (Skagerrak - Tjele Static Inverter Plant),Norway - Kristiansand 58°15′36″N 7°53′55″E﻿ / ﻿58.26000°N 7.89861°E﻿ / 58.26000; 7.89861﻿ (Skagerrak - Kristiansand Static Inverter Plant),230 (130/100),250,500.0,1977,Thyr,Supplier: STK(Nexans) Control system upgrade by ABB in 2007,[33][34][35],9.566944444444445,56.47888888888889,7.898611111111111,58.26
Gotland 2,Sweden - Västervik 57°43′41″N 16°38′51″E﻿ / ﻿57.72806°N 16.64750°E﻿ / 57.72806; 16.64750﻿ (Gotland Transmission - Västervik Static Inverter Plant),Sweden - Yigne 57°35′13″N 18°11′44″E﻿ / ﻿57.58694°N 18.19556°E﻿ / 57.58694; 18.19556﻿ (Gotland Transmission - Yigne Static Inverter Plant),99.5 (92.9/6.6),150,130.0,1983,Thyr,,,16.6475,57.72805555555556,18.195555555555554,57.58694444444444
Interconnexion France Angleterre (new),France - Les Mandarins 50°54′11″N 1°47′5″E﻿ / ﻿50.90306°N 1.78472°E﻿ / 50.90306; 1.78472﻿ (Cross-Channel ( new) - Les Mandarins Static Inverter Plant),UK - Sellindge 51°6′21″N 0°58′32″E﻿ / ﻿51.10583°N 0.97556°E﻿ / 51.10583; 0.97556﻿ (Cross-Channel ( new) - Sellindge Static Inverter Plant),72 (72/0),270,2000.0,1986,Thyr,2 bipolar systems Supplier: Alstom,[1][36],1.7847222222222223,50.903055555555554,0.9755555555555555,51.10583333333334
Gotland 3,Sweden - Västervik 57°43′41″N 16°38′51″E﻿ / ﻿57.72806°N 16.64750°E﻿ / 57.72806; 16.64750﻿ (Gotland Transmission - Västervik Static Inverter Plant),Sweden - Yigne 57°35′13″N 18°11′44″E﻿ / ﻿57.58694°N 18.19556°E﻿ / 57.58694; 18.19556﻿ (Gotland Transmission - Yigne Static Inverter Plant),98 (98/0),150,130.0,1987,Thyr,,,16.6475,57.72805555555556,18.195555555555554,57.58694444444444
