name,Storage 0,Storage 1,Storage 2,Storage 3,Storage 4,Storage 5
2015-01-01 00:00:00,0.0,67.5,2133.89610195,0.0,5457.31438837,0.0
2015-01-01 01:00:00,-1.24770075047e-12,132.9951825,3325.95377834,22.5,5295.22669373,1281.10991642
2015-01-01 02:00:00,0.0,50.0977241635,1476.66763657,28.3417791835,25.0,0.0
2015-01-01 03:00:00,-2.15020568677e-11,48.6097716581,2560.51359036,50.0,2157.92977268,1728.64821204
2015-01-01 04:00:00,-4.99421777219e-12,47.1660128301,778.011665998,48.51495,2093.8371005,821.729145525
2015-01-01 05:00:00,1.54073411388e-11,45.765135083,754.903941506,47.07400747,5087.3051246,797.322968174
2015-01-01 06:00:00,2.20463920539e-12,0.0,0.0,27.9515075176,4936.20707509,424.136302146
2015-01-01 07:00:00,-2.97987307221e-12,67.5,1496.67920025,27.1213197929,6463.98454873,2415.21516271
2015-01-01 08:00:00,0.0,65.4951825,1470.411535,0.0,0.0,0.0
2015-01-01 09:00:00,0.0,0.0,215.912731127,0.0,1916.57921923,0.0
2015-01-01 10:00:00,2.30866862472e-11,0.0,462.409620977,0.0,7222.21297066,43.8649014557
2015-01-01 11:00:00,0.0,0.0,1945.35479308,0.0,11916.7957129,0.0
