name,Norwich Converter,Norway Converter,Bremen Converter,DC link
2015-01-01 00:00:00,-35.7962441027,-415.462564265,451.258808368,16.1083098462
2015-01-01 01:00:00,-976.82456147,-262.606146453,1239.43070792,439.571052661
2015-01-01 02:00:00,-250.587312046,-418.47635319,669.063665237,112.764290421
2015-01-01 03:00:00,-130.753144583,-552.95953931,683.712683892,58.8389150622
2015-01-01 04:00:00,-151.1001686,-218.159858091,369.260026691,67.99507587
2015-01-01 05:00:00,-931.857051942,-791.976265584,1723.83331753,419.335673374
2015-01-01 06:00:00,-289.848287145,-531.870680822,821.718967967,130.431729215
2015-01-01 07:00:00,-864.343321715,-23.5134667186,887.856788433,388.954494772
2015-01-01 08:00:00,-689.57726377,-970.059068457,1659.63633223,310.309768697
2015-01-01 09:00:00,-627.878985943,-0.9248336907,628.803819634,282.545543674
