attribute,type,unit,default,description,status
name,string,n/a,n/a,Unique name,Input (required)
f_nom,float,Hz,50.,Nominal frequency,Input (required)
s_nom,float,MVA,0.,Rated apparent power,Input (required)
v_nom_hv,float,kV,0.,Nominal voltage on high voltage side,Input (required)
v_nom_lv,float,kV,0.,Nominal voltage on low voltage side,Input (required)
vsc,float,Percent,0.,Short circuit voltage,Input (required)
vscr,float,Percent,0.,Real part of short circuit voltage,Input (required)
pfe,float,kW,0.,No load (open circuit) iron losses,Input (required)
i0,float,Percent,0.,No load (open circuit) current,Input (required)
phase_shift,float,Degrees,0.,Phase shift angle,Input (required)
tp_side,string,n/a,0,Defines if tap changer is at the 0 side (usually high-voltage) or the 1 side (usually low voltage) (must be "0" or "1"),Input (required)
tp_mid,int,n/a,0,rated tap position,Input (required)
tp_min,int,n/a,0,minimum tap position,Input (required)
tp_max,int,n/a,0,maximum tap position,Input (required)
tp_st_percent,float,n/a,0.,tap step size,Input (required)
references,string,n/a,n/a,References for electrical parameters,Input (optional)
